"","x"
"0","Bacteria..__Firmicutes..__Clostridia..__Clostridiales..__Christensenellaceae..__Christensenellaceae_R_7_group"
"1","Bacteria..__Proteobacteria..__Alphaproteobacteria..__Rhodospirillales..__Acetobacteraceae..__Rhodovarius"
"2","Bacteria..__Firmicutes..__Bacilli..__Lactobacillales..__Lactobacillaceae..__Lactobacillus"
"3","Bacteria..__Proteobacteria..__Alphaproteobacteria..__Rhodospirillales..__Rhodospirillaceae..__uncultured"
"4","Bacteria..__Proteobacteria..__Betaproteobacteria..__Burkholderiales..__Alcaligenaceae..__Sutterella"
"5","Bacteria..__Actinobacteria..__Coriobacteriia..__Coriobacteriales..__Coriobacteriaceae..__Collinsella"
"6","Bacteria..__Bacteroidetes..__Bacteroidia..__Bacteroidales..__Prevotellaceae..__Prevotella_6"
"7","Bacteria..__Firmicutes..__Bacilli..__Bacillales..__Alicyclobacillaceae..__Alicyclobacillus"
"8","Bacteria..__Actinobacteria..__Actinobacteria..__Micrococcales..__Micrococcaceae..__Rothia"
"9","Bacteria..__Firmicutes..__Negativicutes..__Selenomonadales..__Veillonellaceae..__Negativicoccus"
"10","Bacteria..__Firmicutes..__Erysipelotrichia..__Erysipelotrichales..__Erysipelotrichaceae..__Solobacterium"
"11","Bacteria..__Proteobacteria..__Epsilonproteobacteria..__Campylobacterales..__Campylobacteraceae..__Arcobacter"
"12","Bacteria..__Bacteroidetes..__Bacteroidia..__Bacteroidales..__Porphyromonadaceae..__Coprobacter"
"13","Bacteria..__Actinobacteria..__Coriobacteriia..__Coriobacteriales..__Coriobacteriaceae..__uncultured"
"14","Bacteria..__Proteobacteria..__Alphaproteobacteria..__Rickettsiales..__SM2D12..__g"
"15","Bacteria..__Firmicutes..__Clostridia..__Clostridiales..__Family_XIII..___Eubacterium_nodatum_group"
"16","Bacteria..__Lentisphaerae..__Lentisphaeria..__Victivallales..__vadinBE97..__g"
"17","Bacteria..__Firmicutes..__Clostridia..__Clostridiales..__Ruminococcaceae..__Ruminiclostridium_1"
"18","Bacteria..__Proteobacteria..__Gammaproteobacteria..__Cardiobacteriales..__Cardiobacteriaceae..__Cardiobacterium"
"19","Bacteria..__Actinobacteria..__Actinobacteria..__Micrococcales..__Intrasporangiaceae..__Knoellia"
"20","Bacteria..__Firmicutes..__Clostridia..__Clostridiales..__Family_XI..__Parvimonas"
"21","Bacteria..__Firmicutes..__Bacilli..__Lactobacillales..__Streptococcaceae..__Lactococcus"
"22","Bacteria..__Proteobacteria..__Deltaproteobacteria..__Bdellovibrionales..__Bacteriovoracaceae..__Peredibacter"
"23","Bacteria..__Firmicutes..__Clostridia..__Clostridiales..__Lachnospiraceae..__Lachnospira"
"24","Bacteria..__Bacteroidetes..__Flavobacteriia..__Flavobacteriales..__Flavobacteriaceae..__Cloacibacterium"
"25","Bacteria..__Lentisphaerae..__Lentisphaeria..__Victivallales..__Victivallaceae..__g"
"26","Bacteria..__Proteobacteria..__Gammaproteobacteria..__Enterobacteriales..__Enterobacteriaceae..__Proteus"
"27","Bacteria..__Bacteroidetes..__Bacteroidia..__Bacteroidales..__Porphyromonadaceae..__Proteiniphilum"
"28","Bacteria..__Firmicutes..__Clostridia..__Clostridiales..__Family_XIII..__Mogibacterium"
"29","Bacteria..__Actinobacteria..__Coriobacteriia..__Coriobacteriales..__Coriobacteriaceae..__Adlercreutzia"
"30","Bacteria..__Actinobacteria..__Coriobacteriia..__Coriobacteriales..__Coriobacteriaceae..__Slackia"
"31","Bacteria..__Firmicutes..__Clostridia..__Clostridiales..__Lachnospiraceae..___Eubacterium_ventriosum_group"
"32","Bacteria..__Proteobacteria..__Gammaproteobacteria..__Cellvibrionales..__Cellvibrionaceae..__Cellvibrio"
"33","Bacteria..__Firmicutes..__Negativicutes..__Selenomonadales..__Veillonellaceae..__Megamonas"
"34","Bacteria..__Firmicutes..__Clostridia..__Clostridiales..__Lachnospiraceae..__Epulopiscium"
